Date,Game,Earnings,Players,Tournaments,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade
2002-08-01,Marvel vs. Capcom 2,0.0,3,1,2000-01-01,Fighting Game,39279.73,68,29,,0.0,0.0,2000
2002-08-01,Super Street Fighter II Turbo,0.0,3,1,1994-01-01,Fighting Game,25646.29,114,51,,0.0,0.0,2000
2002-09-01,WarCraft III,31932.4,16,1,2002-01-01,Strategy,6273482.33,752,1533,,,,2000
2002-09-01,Counter-Strike,31856.64,21,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-71.58198271813195,-87.57396449704143,-33.333333333333336,2000
2002-09-01,Age of Empires II,6618.95,11,5,1999-01-01,Strategy,3253232.59,1994,1613,-25.20960451977401,-21.42857142857143,-37.5,2000
2002-09-01,Quake III Arena,6000.0,3,1,1999-01-01,First-Person Shooter,1197552.96,308,114,-85.0,-40.0,0.0,2000
2002-09-01,Age of Empires,100.0,3,1,1997-01-01,Strategy,510716.46,473,265,-98.94736842105263,-25.0,0.0,2000
2002-10-01,StarCraft: Brood War,45800.51,18,3,1998-01-01,Strategy,7548789.3,658,536,2190.0255,500.0,200.0,2000
2002-10-01,Counter-Strike,9791.02,40,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-69.26537136370942,90.47619047619047,-50.0,2000
2002-10-01,Age of Empires II,1000.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,-84.89186351309498,-90.9090909090909,-80.0,2000
2002-10-01,WarCraft III,642.0,3,1,2002-01-01,Strategy,6273482.33,752,1533,-97.9895028247172,-81.25,0.0,2000
2002-11-01,Counter-Strike,86000.0,55,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,778.3558812054312,37.5,100.0,2000
2002-11-01,Age of Empires II,44000.0,9,2,1999-01-01,Strategy,3253232.59,1994,1613,4300.0,800.0,100.0,2000
2002-11-01,FIFA 2002 World Cup,43000.0,8,1,2002-01-01,Sports,43000.0,8,1,,,,2000
2002-11-01,Quake III Arena,43000.0,8,1,1999-01-01,First-Person Shooter,1197552.96,308,114,616.6666666666667,166.66666666666666,0.0,2000
2002-11-01,StarCraft: Brood War,43000.0,8,1,1998-01-01,Strategy,7548789.3,658,536,-6.114582566875349,-55.55555555555556,-66.66666666666667,2000
2002-11-01,Unreal Tournament,43000.0,8,1,1999-01-01,First-Person Shooter,89000.0,14,5,-6.521739130434778,-11.111111111111116,-50.0,2000
2002-11-01,Halo: Combat Evolved,5000.0,21,2,2001-01-01,First-Person Shooter,299281.0,118,39,,,,2000
2002-11-01,Unreal Tournament 2003,4000.0,8,4,2002-01-01,First-Person Shooter,147473.91,33,14,,,,2000
2002-11-01,WarCraft III,106.0,1,1,2002-01-01,Strategy,6273482.33,752,1533,-83.48909657320873,-66.66666666666667,0.0,2000
2002-12-01,Counter-Strike,141800.45,145,4,2000-01-01,First-Person Shooter,13596060.66,4264,1023,64.88424418604653,163.63636363636363,100.0,2000
2002-12-01,WarCraft III,42702.25,27,4,2002-01-01,Strategy,6273482.33,752,1533,40185.14150943396,2600.0,300.0,2000
2002-12-01,Unreal Tournament 2003,30000.0,16,1,2002-01-01,First-Person Shooter,147473.91,33,14,650.0,100.0,-75.0,2000
2002-12-01,Return to Castle Wolfenstein,14424.3,0,1,2001-01-01,First-Person Shooter,113424.3,50,3,-72.7843396226415,-100.0,0.0,2000
2002-12-01,NASCAR Thunder 2002,7679.25,0,1,2001-01-01,Racing,7679.25,0,1,,,,2000
2002-12-01,Star Wars Jedi Knight II: Jedi Outcast,7679.25,0,1,2002-01-01,First-Person Shooter,7679.25,0,1,,,,2000
2002-12-01,Age of Empires II,5950.0,13,2,1999-01-01,Strategy,3253232.59,1994,1613,-86.47727272727272,44.44444444444444,0.0,2000
2003-01-01,Age of Empires II,10500.0,16,3,1999-01-01,Strategy,3253232.59,1994,1613,76.47058823529412,23.076923076923084,50.0,2000
2003-01-01,WarCraft III,9185.0,16,1,2002-01-01,Strategy,6273482.33,752,1533,-78.49059475788746,-40.74074074074075,-75.0,2000
2003-01-01,StarCraft: Brood War,6051.2,6,1,1998-01-01,Strategy,7548789.3,658,536,-85.92744186046511,-25.0,0.0,2000
2003-01-01,Super Smash Bros. Melee,2050.0,7,2,2001-01-01,Fighting Game,4061572.65,1963,2695,5025.0,133.33333333333334,100.0,2000
